,county,state,lat,lon,year,date,disastertype,declarationtitle
0,Wayne County,MI,42.2682408,-83.2844172,2021,2021-07-15,Severe Storms,"SEVERE STORMS,  FLOODING,  AND TORNADOES"
1,Washtenaw County,MI,42.2582044,-83.8440853,2021,2021-07-15,Severe Storms,"SEVERE STORMS,  FLOODING,  AND TORNADOES"
2,Statewide,WA,38.8949924,-77.0365581,2021,2021-07-14,Fire,RED APPLE FIRE
4,Klamath County,OR,42.6052565,-121.739544,2021,2021-07-10,Fire,BOOTLEG FIRE
5,Spokane County,WA,47.5354964,-117.4074674,2021,2021-07-06,Fire,ANDRUS FIRE
6,Hernando County,FL,28.5710156,-82.4605068,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
7,Citrus County,FL,28.8512851,-82.5141209,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
8,DeSoto County,FL,27.190253,-81.8244232,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
9,Charlotte County,FL,26.9013269,-81.9156799,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
10,Hardee County,FL,27.4856349,-81.8196804,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
11,Collier County,FL,26.087964,-81.3794941,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
12,Hillsborough County,FL,27.9184543,-82.3488057,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
13,Lee County,FL,26.5999265,-81.8823135,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
14,Miami-Dade County,FL,25.6364246,-80.4989467,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
15,Manatee County,FL,27.5213933,-82.3801566,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
16,Monroe County,FL,25.0405135,-80.8337157,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
17,Pinellas County,FL,27.8778904,-82.7329309,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
18,Pasco County,FL,28.2996183,-82.4522702,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
19,Sarasota County,FL,27.1813609,-82.3609195,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
20,Levy County,FL,29.3008632,-82.7824592,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
21,Alachua County,FL,29.675568,-82.3640109,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
22,Columbia County,FL,30.2095235,-82.62636971302578,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
23,Hamilton County,FL,30.5232289,-82.9763531,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
24,Gilchrist County,FL,29.7131619,-82.7975172,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
25,Franklin County,FL,29.8323143,-84.8239118,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
26,Lafayette County,FL,29.9978185,-83.2221527,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
27,Jefferson County,FL,30.3949531,-83.9326576,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
28,Lake County,FL,28.7006859,-81.78994,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
29,Dixie County,FL,29.6214008,-83.17351,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
30,Sumter County,FL,28.6689748,-82.076402,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
31,Taylor County,FL,30.0926733,-83.6377926,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
32,Marion County,FL,29.2182454,-82.0626948,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
33,Suwannee County,FL,30.2101192,-82.9873377,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
34,Wakulla County,FL,30.1480038,-84.3543512,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
35,Madison County,FL,30.4514352,-83.4524524,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
36,Bradford County,FL,29.9715087,-82.1608653,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
37,Baker County,FL,30.3143459,-82.2847163,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
38,Duval County,FL,30.3540073,-81.6632109,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
39,Nassau County,FL,30.6624329,-81.7707334,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
40,Putnam County,FL,29.6266155,-81.7230549,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
41,Clay County,FL,29.9766524,-81.8470596,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
42,Union County,FL,30.044304,-82.3954479,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
43,Deschutes County,OR,43.8194838,-121.1669662,2021,2021-06-30,Fire,0419 FIRE
44,Siskiyou County,CA,41.5007223,-122.54435414752092,2021,2021-06-29,Fire,LAVA FIRE
45,Miami-Dade County,FL,25.6364246,-80.4989467,2021,2021-06-25,Other,SURFSIDE BUILDING COLLAPSE
46,Carbon County,MT,45.2050058,-109.1434792,2021,2021-06-16,Fire,ROBERTSON DRAW FIRE
47,San Juan County,UT,37.5859438,-109.7852018,2021,2021-06-10,Fire,PACK CREEK FIRE
48,Douglas County,NV,38.9072611,-119.6201824,2021,2021-06-09,Fire,JACKS VALLEY FIRE
49,Gila County,AZ,33.74135485,-110.68128894247536,2021,2021-06-06,Fire,TELEGRAPH FIRE
50,Pinal County,AZ,32.8085851,-111.4426212,2021,2021-06-06,Fire,TELEGRAPH FIRE
51,Garfield County,UT,37.8018067,-111.5853156,2021,2021-06-05,Fire,MAMMOTH FIRE
52,Ascension Parish,LA,30.2116442,-90.9186104,2021,2021-06-02,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
53,Calcasieu Parish,LA,30.2232015,-93.3434067,2021,2021-06-02,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
54,Lafayette Parish,LA,30.2141462,-92.0710624,2021,2021-06-02,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
55,Iberville Parish,LA,30.2120844,-91.3133623,2021,2021-06-02,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
56,East Baton Rouge Parish,LA,30.5254797,-91.0899217,2021,2021-06-02,Flood,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
57,Yavapai County,AZ,34.5668857,-112.5515965,2021,2021-05-27,Fire,SPUR FIRE
58,Lincoln County,WV,38.1570776,-82.0671435,2021,2021-05-20,Flood,SEVERE STORMS AND FLOODING
59,Boone County,WV,38.0093296,-81.7013559,2021,2021-05-20,Flood,SEVERE STORMS AND FLOODING
60,Logan County,WV,37.8024603,-81.9284776,2021,2021-05-20,Flood,SEVERE STORMS AND FLOODING
61,Wayne County,WV,38.1270685,-82.4289201,2021,2021-05-20,Flood,SEVERE STORMS AND FLOODING
62,Cabell County,WV,38.4200892,-82.2316907,2021,2021-05-20,Flood,SEVERE STORMS AND FLOODING
63,Kanawha County,WV,38.3428208,-81.5089835,2021,2021-05-20,Flood,SEVERE STORMS AND FLOODING
64,Mingo County,WV,37.679051,-82.1317065,2021,2021-05-20,Flood,SEVERE STORMS AND FLOODING
65,Maui County,HI,20.7580586,-156.3105232,2021,2021-05-13,Flood,"SEVERE STORMS,  FLOODING,  AND LANDSLIDES"
66,Lincoln County,WV,38.1570776,-82.0671435,2021,2021-05-13,Severe Ice Storm,SEVERE WINTER STORMS
67,Mason County,WV,38.7499013,-82.052456,2021,2021-05-13,Severe Ice Storm,SEVERE WINTER STORMS
68,Putnam County,WV,38.4939687,-81.9150148,2021,2021-05-13,Severe Ice Storm,SEVERE WINTER STORMS
69,Cabell County,WV,38.4200892,-82.2316907,2021,2021-05-13,Severe Ice Storm,SEVERE WINTER STORMS
70,Wayne County,WV,38.1270685,-82.4289201,2021,2021-05-13,Severe Ice Storm,SEVERE WINTER STORMS
71,Amelia County,VA,37.3319664,-78.008448,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
72,Appomattox County,VA,37.379893,-78.79645066236239,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
73,Campbell County,VA,37.2158191,-79.1165953,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
74,Caroline County,VA,38.0320305,-77.362363,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
75,Charlotte County,VA,37.0416273,-78.6523968,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
76,Chesterfield County,VA,37.3859982,-77.578509,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
77,Essex County,VA,37.9140592,-76.9326385,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
78,Bedford County,VA,37.3123905,-79.5399003,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
79,Brunswick County,VA,36.7788996,-77.8670883,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
80,Cumberland County,VA,37.5004191,-78.2469202,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
81,Dinwiddie County,VA,37.0712818,-77.6480714,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
82,Floyd County,VA,36.9157056,-80.3876889,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
83,Franklin County,VA,37.0527719,-79.8813093,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
84,Greensville County,VA,36.6405713,-77.5768298,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
85,Hanover County,VA,37.744783,-77.4464165,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
86,King and Queen County,VA,37.7196754,-76.8794158,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
87,Halifax County,VA,36.747244,-78.9425634,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
88,Goochland County,VA,37.7204342,-77.8837984,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
89,King William County,VA,37.6940722,-77.0690284,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
90,Middlesex County,VA,37.6221412,-76.5904374,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
91,Northumberland County,VA,37.9314992,-76.4836686,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
92,Nottoway County,VA,37.1489448,-78.0583926,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
93,New Kent County,VA,37.4971441,-76.9964301,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
94,Louisa County,VA,37.9854441,-77.9486307,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
95,Patrick County,VA,36.6818706,-80.284636,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
96,Lancaster County,VA,37.7625738,-76.4723233,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
97,Mecklenburg County,VA,36.6798483,-78.314746,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
98,Lunenburg County,VA,36.9445279,-78.2562001,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
99,Pittsylvania County,VA,36.8121678,-79.4364106,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
100,Powhatan County,VA,37.5531622,-77.9112655,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
101,Prince George County,VA,37.1815024,-77.2153144,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
102,Richmond County,VA,37.9476108,-76.7161921,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
103,Prince Edward County,VA,37.2293293,-78.4628573,2021,2021-05-10,Severe Ice Storm,SEVERE WINTER STORMS
104,Campbell County,TN,36.3865389,-84.1351617,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
105,Cannon County,TN,35.8044159,-86.0512075,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
106,Cheatham County,TN,36.2444954,-87.0967857,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
107,Claiborne County,TN,36.4673161,-83.6786377,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
108,Clay County,TN,36.5125924,-85.5323062,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
109,Decatur County,TN,35.6067875,-88.1083982,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
110,Fentress County,TN,36.3639975,-84.9303411,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
111,Hardeman County,TN,35.1743058,-88.9963359,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
112,Henderson County,TN,35.6418311,-88.3949437,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
113,Hickman County,TN,35.794948,-87.4646163,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
114,Grainger County,TN,36.2810821,-83.5107018,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
115,Jackson County,TN,36.362299,-85.6654772,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
116,McNairy County,TN,35.1663375,-88.5766172,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
117,Madison County,TN,35.6055887,-88.852119,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
118,Maury County,TN,35.6285992,-87.0736684,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
119,Moore County,TN,35.2835629,-86.3411514,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
120,Overton County,TN,36.3396292,-85.286641,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
121,Scott County,TN,36.4380433,-84.5095507,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
122,Smith County,TN,36.2549331,-85.9741567918973,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
123,Wayne County,TN,35.2499093,-87.8084373,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
124,Wilson County,TN,36.1466658,-86.3119998,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
125,Williamson County,TN,35.8772991,-86.8978708,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
126,Davidson County,TN,36.189724,-86.7857862,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
127,Marion County,TN,35.1507807,-85.617868,2021,2021-05-08,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING"
128,Coweta County,GA,33.3500656,-84.7545734,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
129,Fannin County,GA,34.8867955,-84.2715585,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
130,Gilmer County,GA,34.6859788,-84.452696,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
131,Gordon County,GA,34.5019651,-84.8986308,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
132,Heard County,GA,33.2786225,-85.113782,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
133,Lumpkin County,GA,34.5546076,-83.9926806,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
134,Rabun County,GA,34.8796123,-83.4251357,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
135,Pickens County,GA,34.4630619,-84.4682402,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
136,White County,GA,34.6322605,-83.7596041,2021,2021-05-05,Severe Storms,SEVERE STORMS AND TORNADOES
138,Benton County,OR,44.494937,-123.4065679,2021,2021-05-04,Severe Storms,OR WINTER STORM 02-13-2021
139,Polk County,OR,44.879673,-123.4599594,2021,2021-05-04,Severe Storms,OR WINTER STORM 02-13-2021
140,Marion County,OR,44.8964425,-122.7203248,2021,2021-05-04,Severe Storms,OR WINTER STORM 02-13-2021
141,Yamhill County,OR,45.2298399,-123.2180414,2021,2021-05-04,Severe Storms,OR WINTER STORM 02-13-2021
142,Clackamas County,OR,45.1608821,-122.2305038,2021,2021-05-04,Severe Storms,OR WINTER STORM 02-13-2021
143,Linn County,OR,44.4968904,-122.5485977,2021,2021-05-04,Severe Storms,OR WINTER STORM 02-13-2021
145,Adams County,MS,31.4904067,-91.3297733,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
146,Attala County,MS,33.0777868,-89.5680661,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
147,Choctaw County,MS,33.3569348,-89.2390212,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
148,Claiborne County,MS,31.9640367,-90.9141968,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
149,Grenada County,MS,33.772401,-89.7674875,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
150,Franklin County,MS,31.467398,-90.8992648,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
151,Covington County,MS,31.6143213,-89.5278045,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
152,Hinds County,MS,32.2506391,-90.4793259,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
153,Copiah County,MS,31.8563532,-90.4798717,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
154,Jasper County,MS,32.0216075,-89.1132111,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
155,Jefferson County,MS,31.7256789,-91.0335766,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
156,Jefferson Davis County,MS,31.5576951,-89.8386843,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
157,Kemper County,MS,32.7307497,-88.6604179,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
158,Lauderdale County,MS,32.3905206,-88.689636,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
159,Lafayette County,MS,34.3519035,-89.4664677,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
160,Lawrence County,MS,31.5129753,-90.1205396,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
161,Leake County,MS,32.7401114,-89.5241292,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
162,Lincoln County,MS,31.4885409,-90.4480916,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
163,Neshoba County,MS,32.7237573,-89.103199,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
164,Newton County,MS,32.3882835,-89.1317486,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
165,Noxubee County,MS,33.1190254,-88.5916703,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
166,Rankin County,MS,32.2338702,-89.9484651,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
167,Scott County,MS,32.3805744,-89.5092509,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
168,Simpson County,MS,31.8919593,-89.9323619,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
169,Smith County,MS,32.0018336,-89.4877278,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
170,Walthall County,MS,31.1241919,-90.1197687,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
171,Warren County,MS,32.3649516,-90.7975574,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
172,Pike County,MS,31.1712493,-90.4093394,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
173,Tallahatchie County,MS,33.9414425,-90.1577411,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
174,Winston County,MS,33.0603103,-89.0495278,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
175,Yazoo County,MS,32.770896,-90.4120889,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
176,Clay County,MS,33.6393012,-88.7957063,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
177,Holmes County,MS,33.1018124,-90.0656168,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
178,Quitman County,MS,34.1920186,-90.2946542,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
179,Webster County,MS,33.6197203,-89.2646598,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
180,Wilkinson County,MS,31.1371924,-91.3329359,2021,2021-05-04,Severe Ice Storm,SEVERE WINTER STORMS
181,Cape May County,NJ,39.1765386,-74.8012119,2021,2021-04-28,Snow,SEVERE WINTER STORM AND SNOWSTORM
182,Ocean County,NJ,39.977818,-74.3319287,2021,2021-04-28,Snow,SEVERE WINTER STORM AND SNOWSTORM
183,Sussex County,NJ,41.133372,-74.6930393,2021,2021-04-28,Snow,SEVERE WINTER STORM AND SNOWSTORM
184,Morris County,NJ,40.8679538,-74.5601181,2021,2021-04-28,Snow,SEVERE WINTER STORM AND SNOWSTORM
185,Warren County,NJ,40.8602222,-74.9720493,2021,2021-04-28,Snow,SEVERE WINTER STORM AND SNOWSTORM
186,Lincoln County,NM,33.7525727,-105.4158806,2021,2021-04-27,Fire,THREE RIVERS FIRE
187,Bibb County,AL,32.971079,-87.1227088,2021,2021-04-26,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES"
188,Calhoun County,AL,33.7514505,-85.8315666,2021,2021-04-26,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES"
189,Clay County,AL,33.2423393,-85.819651,2021,2021-04-26,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES"
190,Jefferson County,AL,33.5228184,-86.9164513,2021,2021-04-26,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES"
191,Hale County,AL,32.7412417,-87.6561668,2021,2021-04-26,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES"
192,Perry County,AL,32.6421387,-87.2876639,2021,2021-04-26,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES"
193,Randolph County,AL,33.2651763,-85.4693961,2021,2021-04-26,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES"
194,Shelby County,AL,33.2503347,-86.6639746,2021,2021-04-26,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES"
195,Bell County,KY,36.7370344,-83.6491695,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
196,Calloway County,KY,36.6257937,-88.271076,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
197,Carter County,KY,38.3199171,-83.0039034,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
198,Casey County,KY,37.2911032,-84.9146294,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
199,Cumberland County,KY,36.7934611,-85.3795095,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
200,Edmonson County,KY,37.1999181,-86.2206738,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
201,Elliott County,KY,38.1178636,-83.0656398,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
202,Graves County,KY,36.7244966,-88.6569094,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
203,Harlan County,KY,36.8411336,-83.22678,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
204,Knox County,KY,36.8934427,-83.8545725,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
205,Marion County,KY,37.5413747,-85.2650391,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
206,Mason County,KY,38.5755445,-83.8118236,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
207,Menifee County,KY,37.9357602,-83.6014187,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
208,Ohio County,KY,37.4757698,-86.8560639,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
209,Pike County,KY,37.4512431,-82.3855722,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
210,Whitley County,KY,36.7324324,-84.1512134,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
211,Union County,KY,37.637247,-87.958036,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
212,Wolfe County,KY,37.7430509,-83.4868591,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
213,Anderson County,KY,38.0096811,-84.9880147,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
214,Fayette County,KY,38.0280648,-84.4722444,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
215,Jessamine County,KY,37.8652866,-84.576902,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
216,Laurel County,KY,37.1000973,-84.1148273,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
217,Warren County,KY,36.9812407,-86.4233533,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
218,Boyd County,KY,38.3608934,-82.6945926,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
219,Clark County,KY,37.9713791,-84.1550145,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
220,Clay County,KY,37.1540436,-83.723144,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
221,Breathitt County,KY,37.5248869,-83.2943551,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
222,Woodford County,KY,38.0686424,-84.7404532,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
223,Estill County,KY,37.6896864,-83.9407279,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
224,Floyd County,KY,37.5473459,-82.7645621,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
225,Franklin County,KY,38.2520423,-84.8633812,2021,2021-04-23,Flood,"SEVERE,  STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES"
